Control ID,Control Key,Type,Section,Title,Applies To,CIS Level,Framework Reference,Agreed Value,Description,Security Rationale,Validate — Debian family,Configure — Debian family,Validate — Red Hat family,Configure — Red Hat family
JR2.C.1.1.0,jr2_c_1_1_0,section,Filesystem Configuration,Filesystem Configuration,debian;redhat,,,,"Directories that are used for system-wide functions can be further protected by placing them on separate partitions. This provides protection for resource exhaustion and enables the use of mounting options that are applicable to the directory's intended use. Users' data can be stored on separate partitions and have stricter mount options. A user partition is a filesystem that has been established for use by the users and does not contain software for system operations.

The recommendations in this section are easier to perform during initial system installation. If the system is already installed, it is recommended that a full backup be performed before repartitioning the system.

**Note:** If you are repartitioning a system that has already been installed (This may require the system to be in single-user mode):
 - Mount the new partition to a temporary mountpoint e.g. `mount /dev/sda2 /mnt`
 - Copy data from the original partition to the new partition. e.g. `cp /var/tmp/* /mnt`
 - Verify that all data is present on the new partition. e.g. `ls -la /mnt`
 - Unmount the new partition. e.g. `umount /mnt`
 - Remove the data from the original directory that was in the old partition. e.g. `rm -Rf /var/tmp/*` Otherwise it will still consume space in the old partition that will be masked when the new filesystem is mounted.
 - Mount the new partition to the desired mountpoint. e.g. `mount /dev/sda2 /var/tmp`
 - Update `/etc/fstab` with the new mountpoint. e.g. `/dev/sda2 /var/tmp xfs defaults,rw,nosuid,nodev,noexec,relatime 0 0`",,,,,
JR2.C.1.1.1,jr2_c_1_1_1,control,Filesystem Configuration,Disable Automounting.,debian;redhat,1,CIS-U22:1.1.9,Automounting should be removed or disabled.,"`autofs` allows automatic mounting of devices, typically including CD/DVDs and USB drives.",With automounting enabled anyone with physical access could attach a USB drive or disc and have its contents available in the filesystem even if they lacked permissions to mount it themselves.,"As a preference `autofs` should not be installed unless other packages depend on it.

Run the following command to verify `autofs` is not installed:

```
# dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' autofs

dpkg-query: no packages found matching autofs
```

 _**-OR-**_ if there are dependencies on the autofs package:

Run the following command to verify `autofs` is not enabled:

```
# systemctl is-enabled autofs 2>/dev/null | grep 'enabled'

Nothing should be returned
```","If there are no other packages that depends on `autofs`, remove the package with:

```
# apt purge autofs
```

 _**-OR-**_ if there are dependencies on the autofs package:

Run the following commands to mask `autofs`:

```
# systemctl stop autofs
# systemctl mask autofs
```","# [SABC] Red Hat family guidance — authored from the CIS AlmaLinux 8 Benchmark.
# (CIS AlmaLinux 8 §2.1.1 — Ensure autofs services are not in use)
```
# rpm -q autofs
# systemctl is-enabled autofs.service 2>/dev/null | grep 'enabled'
# systemctl is-active autofs.service 2>/dev/null | grep '^active'
```","# [SABC] Red Hat family guidance — authored from the CIS AlmaLinux 8 Benchmark.
# (CIS AlmaLinux 8 §2.1.1 — Ensure autofs services are not in use)
```
# systemctl stop autofs.service
# dnf remove autofs
# systemctl stop autofs.service
# systemctl mask autofs.service
```"
JR2.C.1.1.2,jr2_c_1_1_2,control,Filesystem Configuration,Disable USB Storage.,debian;redhat,1,CIS-U22:1.1.10,USB-storage module should be disabled.,USB storage provides a means to transfer and store files insuring persistence and availability of the files independent of network connection status. Its popularity and utility has led to USB-based malware being a simple and common means for network infiltration and a first step to establishing a persistent threat within a networked environment.,Restricting USB access on the system will decrease the physical attack surface for a device and diminish the possible vectors to introduce malware.,"Run the following script to verify the `usb-storage` module is disabled:

If the module is available in the running kernel:
- An entry including `/bin/true` or `/bin/false` exists in a file within the `/etc/modprobe.d/` directory
- The module is deny listed in a file within the `/etc/modprobe.d/` directory
- The module is not loaded in the kernel

If available in ANY installed kernel:
 - The module is deny listed in a file within the `/etc/modprobe.d/` directory

If the kernel module is not available on the system:
- No additional configuration is necessary

```
#!/usr/bin/env bash

{
 l_output="""" l_output2="""" l_output3="""" l_dl="""" # Unset output variables
 l_mname=""usb-storage"" # set module name
 l_mtype=""drivers"" # set module type
 l_searchloc=""/lib/modprobe.d/*.conf /usr/local/lib/modprobe.d/*.conf /run/modprobe.d/*.conf /etc/modprobe.d/*.conf""
 l_mpath=""/lib/modules/**/kernel/$l_mtype""
 l_mpname=""$(tr '-' '_' <<< ""$l_mname"")""
 l_mndir=""$(tr '-' '/' <<< ""$l_mname"")""

 module_loadable_chk()
 {
 # Check if the module is currently loadable
 l_loadable=""$(modprobe -n -v ""$l_mname"")""
 [ ""$(wc -l <<< ""$l_loadable"")"" -gt ""1"" ] && l_loadable=""$(grep -P -- ""(^\h*install|\b$l_mname)\b"" <<< ""$l_loadable"")""
 if grep -Pq -- '^\h*install \/bin\/(true|false)' <<< ""$l_loadable""; then
 l_output=""$l_output\n - module: \""$l_mname\"" is not loadable: \""$l_loadable\""""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is loadable: \""$l_loadable\""""
 fi
 }
 module_loaded_chk()
 {
 # Check if the module is currently loaded
 if ! lsmod | grep ""$l_mname"" > /dev/null 2> then
 l_output=""$l_output\n - module: \""$l_mname\"" is not loaded""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is loaded""
 fi
 }
 module_deny_chk()
 {
 # Check if the module is deny listed
 l_dl=""y""
 if modprobe --showconfig | grep -Pq -- '^\h*blacklist\h+'""$l_mpname""'\b'; then
 l_output=""$l_output\n - module: \""$l_mname\"" is deny listed in: \""$(grep -Pls -- ""^\h*blacklist\h+$l_mname\b"" $l_searchloc)\""""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is not deny listed""
 fi
 }
 # Check if the module exists on the system
 for l_mdir in $l_mpath; do
 if [ -d ""$l_mdir/$l_mndir"" ] && [ -n ""$(ls -A $l_mdir/$l_mndir)"" ]; then
 l_output3=""$l_output3\n - \""$l_mdir\""""
 [ ""$l_dl"" != ""y"" ] && module_deny_chk
 if [ ""$l_mdir"" = ""/lib/modules/$(uname -r)/kernel/$l_mtype"" ]; then
 module_loadable_chk
 module_loaded_chk
 fi
 else
 l_output=""$l_output\n - module: \""$l_mname\"" doesn't exist in \""$l_mdir\""""
 fi
 done
 # Report results. If no failures output in l_output2, we pass
 [ -n ""$l_output3"" ] && echo -e ""\n\n -- INFO --\n - module: \""$l_mname\"" exists in:$l_output3""
 if [ -z ""$l_output2"" ]; then
 echo -e ""\n- Audit Result:\n ** PASS **\n$l_output\n""
 else
 echo -e ""\n- Audit Result:\n ** FAIL **\n - Reason(s) for audit failure:\n$l_output2\n""
 [ -n ""$l_output"" ] && echo -e ""\n- Correctly set:\n$l_output\n""
 fi
}
```","Run the following script to disable the `cramfs` module:

If the module is available in the running kernel:
 - Create a file with `install usb-storage /bin/false` in the `/etc/modprobe.d/` directory
 - Create a file with `blacklist usb-storage` in the `/etc/modprobe.d/` directory
 - Unload `usb-storage` from the kernel

If available in ANY installed kernel:
 - Create a file with `blacklist usb-storage` in the `/etc/modprobe.d/` directory

If the kernel module is not available on the system:
- No remediation is necessary

```
#!/usr/bin/env bash

{
 l_mname=""usb-storage"" # set module name
 l_mtype=""drivers"" # set module type
 l_mpath=""/lib/modules/**/kernel/$l_mtype""
 l_mpname=""$(tr '-' '_' <<< ""$l_mname"")""
 l_mndir=""$(tr '-' '/' <<< ""$l_mname"")""

 module_loadable_fix()
 {
 # If the module is currently loadable, add ""install {MODULE_NAME} /bin/false"" to a file in ""/etc/modprobe.d""
 l_loadable=""$(modprobe -n -v ""$l_mname"")""
 [ ""$(wc -l <<< ""$l_loadable"")"" -gt ""1"" ] && l_loadable=""$(grep -P -- ""(^\h*install|\b$l_mname)\b"" <<< ""$l_loadable"")""
 if ! grep -Pq -- '^\h*install \/bin\/(true|false)' <<< ""$l_loadable""; then
 echo -e ""\n - setting module: \""$l_mname\"" to be not loadable""
 echo -e ""install $l_mname /bin/false"" >> /etc/modprobe.d/""$l_mpname"".conf
 fi
 }
 module_loaded_fix()
 {
 # If the module is currently loaded, unload the module
 if lsmod | grep ""$l_mname"" > /dev/null 2> then
 echo -e ""\n - unloading module \""$l_mname\""""
 modprobe -r ""$l_mname""
 fi
 }
 module_deny_fix()
 {
 # If the module isn't deny listed, denylist the module
 if ! modprobe --showconfig | grep -Pq -- ""^\h*blacklist\h+$l_mpname\b""; then
 echo -e ""\n - deny listing \""$l_mname\""""
 echo -e ""blacklist $l_mname"" >> /etc/modprobe.d/""$l_mpname"".conf
 fi
 }
 # Check if the module exists on the system
 for l_mdir in $l_mpath; do
 if [ -d ""$l_mdir/$l_mndir"" ] && [ -n ""$(ls -A $l_mdir/$l_mndir)"" ]; then
 echo -e ""\n - module: \""$l_mname\"" exists in \""$l_mdir\""\n - checking if disabled...""
 module_deny_fix
 if [ ""$l_mdir"" = ""/lib/modules/$(uname -r)/kernel/$l_mtype"" ]; then
 module_loadable_fix
 module_loaded_fix
 fi
 else
 echo -e ""\n - module: \""$l_mname\"" doesn't exist in \""$l_mdir\""\n""
 fi
 done
 echo -e ""\n - remediation of module: \""$l_mname\"" complete\n""
}
```","# [SABC] Red Hat family guidance — family-neutral procedure; the Debian commands (sysctl/systemctl/file/pam checks) run identically on the Red Hat family.
Run the following script to verify the `usb-storage` module is disabled:

If the module is available in the running kernel:
- An entry including `/bin/true` or `/bin/false` exists in a file within the `/etc/modprobe.d/` directory
- The module is deny listed in a file within the `/etc/modprobe.d/` directory
- The module is not loaded in the kernel

If available in ANY installed kernel:
 - The module is deny listed in a file within the `/etc/modprobe.d/` directory

If the kernel module is not available on the system:
- No additional configuration is necessary

```
#!/usr/bin/env bash

{
 l_output="""" l_output2="""" l_output3="""" l_dl="""" # Unset output variables
 l_mname=""usb-storage"" # set module name
 l_mtype=""drivers"" # set module type
 l_searchloc=""/lib/modprobe.d/*.conf /usr/local/lib/modprobe.d/*.conf /run/modprobe.d/*.conf /etc/modprobe.d/*.conf""
 l_mpath=""/lib/modules/**/kernel/$l_mtype""
 l_mpname=""$(tr '-' '_' <<< ""$l_mname"")""
 l_mndir=""$(tr '-' '/' <<< ""$l_mname"")""

 module_loadable_chk()
 {
 # Check if the module is currently loadable
 l_loadable=""$(modprobe -n -v ""$l_mname"")""
 [ ""$(wc -l <<< ""$l_loadable"")"" -gt ""1"" ] && l_loadable=""$(grep -P -- ""(^\h*install|\b$l_mname)\b"" <<< ""$l_loadable"")""
 if grep -Pq -- '^\h*install \/bin\/(true|false)' <<< ""$l_loadable""; then
 l_output=""$l_output\n - module: \""$l_mname\"" is not loadable: \""$l_loadable\""""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is loadable: \""$l_loadable\""""
 fi
 }
 module_loaded_chk()
 {
 # Check if the module is currently loaded
 if ! lsmod | grep ""$l_mname"" > /dev/null 2> then
 l_output=""$l_output\n - module: \""$l_mname\"" is not loaded""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is loaded""
 fi
 }
 module_deny_chk()
 {
 # Check if the module is deny listed
 l_dl=""y""
 if modprobe --showconfig | grep -Pq -- '^\h*blacklist\h+'""$l_mpname""'\b'; then
 l_output=""$l_output\n - module: \""$l_mname\"" is deny listed in: \""$(grep -Pls -- ""^\h*blacklist\h+$l_mname\b"" $l_searchloc)\""""
 else
 l_output2=""$l_output2\n - module: \""$l_mname\"" is not deny listed""
 fi
 }
 # Check if the module exists on the system
 for l_mdir in $l_mpath; do
 if [ -d ""$l_mdir/$l_mndir"" ] && [ -n ""$(ls -A $l_mdir/$l_mndir)"" ]; then
 l_output3=""$l_output3\n - \""$l_mdir\""""
 [ ""$l_dl"" != ""y"" ] && module_deny_chk
 if [ ""$l_mdir"" = ""/lib/modules/$(uname -r)/kernel/$l_mtype"" ]; then
 module_loadable_chk
 module_loaded_chk
 fi
 else
 l_output=""$l_output\n - module: \""$l_mname\"" doesn't exist in \""$l_mdir\""""
 fi
 done
 # Report results. If no failures output in l_output2, we pass
 [ -n ""$l_output3"" ] && echo -e ""\n\n -- INFO --\n - module: \""$l_mname\"" exists in:$l_output3""
 if [ -z ""$l_output2"" ]; then
 echo -e ""\n- Audit Result:\n ** PASS **\n$l_output\n""
 else
 echo -e ""\n- Audit Result:\n ** FAIL **\n - Reason(s) for audit failure:\n$l_output2\n""
 [ -n ""$l_output"" ] && echo -e ""\n- Correctly set:\n$l_output\n""
 fi
}
```","# [SABC] Red Hat family guidance — family-neutral procedure; the Debian commands (sysctl/systemctl/file/pam checks) run identically on the Red Hat family.
Run the following script to disable the `cramfs` module:

If the module is available in the running kernel:
 - Create a file with `install usb-storage /bin/false` in the `/etc/modprobe.d/` directory
 - Create a file with `blacklist usb-storage` in the `/etc/modprobe.d/` directory
 - Unload `usb-storage` from the kernel

If available in ANY installed kernel:
 - Create a file with `blacklist usb-storage` in the `/etc/modprobe.d/` directory

If the kernel module is not available on the system:
- No remediation is necessary

```
#!/usr/bin/env bash

{
 l_mname=""usb-storage"" # set module name
 l_mtype=""drivers"" # set module type
 l_mpath=""/lib/modules/**/kernel/$l_mtype""
 l_mpname=""$(tr '-' '_' <<< ""$l_mname"")""
 l_mndir=""$(tr '-' '/' <<< ""$l_mname"")""

 module_loadable_fix()
 {
 # If the module is currently loadable, add ""install {MODULE_NAME} /bin/false"" to a file in ""/etc/modprobe.d""
 l_loadable=""$(modprobe -n -v ""$l_mname"")""
 [ ""$(wc -l <<< ""$l_loadable"")"" -gt ""1"" ] && l_loadable=""$(grep -P -- ""(^\h*install|\b$l_mname)\b"" <<< ""$l_loadable"")""
 if ! grep -Pq -- '^\h*install \/bin\/(true|false)' <<< ""$l_loadable""; then
 echo -e ""\n - setting module: \""$l_mname\"" to be not loadable""
 echo -e ""install $l_mname /bin/false"" >> /etc/modprobe.d/""$l_mpname"".conf
 fi
 }
 module_loaded_fix()
 {
 # If the module is currently loaded, unload the module
 if lsmod | grep ""$l_mname"" > /dev/null 2> then
 echo -e ""\n - unloading module \""$l_mname\""""
 modprobe -r ""$l_mname""
 fi
 }
 module_deny_fix()
 {
 # If the module isn't deny listed, denylist the module
 if ! modprobe --showconfig | grep -Pq -- ""^\h*blacklist\h+$l_mpname\b""; then
 echo -e ""\n - deny listing \""$l_mname\""""
 echo -e ""blacklist $l_mname"" >> /etc/modprobe.d/""$l_mpname"".conf
 fi
 }
 # Check if the module exists on the system
 for l_mdir in $l_mpath; do
 if [ -d ""$l_mdir/$l_mndir"" ] && [ -n ""$(ls -A $l_mdir/$l_mndir)"" ]; then
 echo -e ""\n - module: \""$l_mname\"" exists in \""$l_mdir\""\n - checking if disabled...""
 module_deny_fix
 if [ ""$l_mdir"" = ""/lib/modules/$(uname -r)/kernel/$l_mtype"" ]; then
 module_loadable_fix
 module_loaded_fix
 fi
 else
 echo -e ""\n - module: \""$l_mname\"" doesn't exist in \""$l_mdir\""\n""
 fi
 done
 echo -e ""\n - remediation of module: \""$l_mname\"" complete\n""
}
```"
JR2.C.1.1.1.0,jr2_c_1_1_1_0,section,Filesystem Configuration,Disable unused filesystems.,debian;redhat,,,,"A number of uncommon filesystem types are supported under Linux. Removing support for unneeded filesystem types reduces the local attack surface of the system. If a filesystem type is not needed it should be disabled. Native Linux file systems are designed to ensure that built-in security controls function as expected. Non-native filesystems can lead to unexpected consequences to both the security and functionality of the system and should be used with caution. Many filesystems are created for niche use cases and are not maintained and supported as the operating systems are updated and patched. Users of non-native filesystems should ensure that there is attention and ongoing support for them, especially in light of frequent operating system changes.

Standard network connectivity and Internet access to cloud storage may make the use of non-standard filesystem formats to directly attach heterogeneous devices much less attractive.

**Note**: This should not be considered a comprehensive list of filesystems. You may wish to consider additions to those listed here for your environment. For the current available file system modules on the system see `/usr/lib/modules/$(uname -r)/kernel/fs`

#### Start up scripts

Kernel modules loaded directly via `insmod` will ignore what is configured in the relevant `/etc/modprobe.d/*.conf` files. If modules are still being loaded after a reboot whilst having the correctly configured `blacklist` and `install` command, check for `insmod` entries in start up scripts such as `.bashrc`.

You may also want to check `/lib/modprobe.d/`. Please note that this directory should not be used for user defined module loading. Ensure that all such entries resides in `/etc/modprobe.d/*.conf` files.

#### Return values

By using `/bin/false` as the command in disabling a particular module serves two purposes; to convey the meaning of the entry to the user and cause a non-zero return value. The latter can be tested for in scripts. Please note that `insmod` will ignore what is configured in the relevant `/etc/modprobe.d/*.conf` files. The preferred way to load modules is with `modprobe`.",,,,,
